university,faculty,round-program,แกนกลาง,นานาชาติ,อาชีวะ,กศน,GED,special requirements,min-tgat,percent-tgat,percent-alevel-math1,percent-alevel-math2,percent-alevel-eng,percent-alevel-phy,percent-alevel-chem,percent-alevel-bio,percent-alevel-thai,percent-alevel-soc,"percent-alevel-
lang",min-gpax,percent-gpax,number-of-students,reference
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาเกาหลี,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาจีน,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาบาลี,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์ เลือกสอบวิชาภาษาสเปน,Admission,y,y,y,y,y,,,,,,25,,,,25,25,25,2.75,,,
จุฬาลงกรณ์มหาวิทยาลัย,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Portfolio,y,y,y,y,y," - มีคะแนนภาษาอังกฤษ TOEFL (internet-based) ไม่ต่ำกว่า 79 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.5 หรือ 
CU-TEP & Speaking ไม่ต่ำกว่า 101 คะแนน 
-มีคะแนนสอบวัดระดับในการสื่อสารภาษาอังกฤษและคณิตศาสตร์ CU-AAT 
(Math section and Verbal section) ได้คะแนนรวมไม่ต่ำกว่า 1200 หรือ 
SAT (Math และ Evidence-Based Reading and Writing) ไม่ต่ำกว่า 1270 คะแนน ",-,-,,,,,,,,,,-,-,180,
จุฬาลงกรณ์มหาวิทยาลัย,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Quota,y,y,y,y,y," - มีคะแนนภาษาอังกฤษ TOEFL (internet-based) ไม่ต่ำกว่า 79 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.5 หรือ 
CU-TEP & Speaking ไม่ต่ำกว่า 101 คะแนน 
-มีคะแนนสอบวัดระดับในการสื่อสารภาษาอังกฤษและคณิตศาสตร์ CU-AAT 
(Math section and Verbal section) ได้คะแนนรวมไม่ต่ำกว่า 1200 หรือ 
SAT (Math และ Evidence-Based Reading and Writing) ไม่ต่ำกว่า 1270 คะแนน ",-,-,,,,,,,,,,-,-,10,http://www.admissions.chula.ac.th/inter-program.html
จุฬาลงกรณ์มหาวิทยาลัย,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA-NextGen),Portfolio,y,y,y,y,y,"- มีคะแนนภาษาอังกฤษ TOEFL (internet-based) ไม่ต่ำกว่า 79 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.5 หรือ 
CU-TEP & Speaking ไม่ต่ำกว่า 101 คะแนน 
-มีคะแนนสอบวัดระดับในการสื่อสารภาษาอังกฤษและคณิตศาสตร์ CU-AAT 
(Math section and Verbal section) ได้คะแนนรวมไม่ต่ำกว่า 1230 หรือ 
SAT (Math และ Evidence-Based Reading and Writing) ไม่ต่ำกว่า 1300 คะแนน 
-คลิปวิดีโอประวัติผู้สมัคร (Video Resume) และแฟ้มสะสมผลงาน (Portfolio) 
ที่แสดงถึงความสามารถด้านวิชาการในระดับชาติ หรือ นานาชาติทางด้านวิทยาศาสตร์ 
คณิตศาสตร์ ธุรกิจ หรือ การสื่อสาร",-,-,,,,,,,,,,-,-,10,http://www.admissions.chula.ac.th/inter-program.html
มหาลัยธรรมศาสตร์,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Portfolio,y,y,y,y,y," - มีคะแนนภาษาอังกฤษ TOEFL (internet-based) ไม่ต่ำกว่า 80 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 6.0 (at least 5.5 in each individual section) หรือ 
TU-GET Paper-based ไม่ต่ำกว่า 550 คะแนน หรือ 
TU-GET Computer-based ไม่ต่ำกว่า 80 คะแนน 
-มีคะแนนสอบวัดระดับในการสื่อสารภาษาอังกฤษและคณิตศาสตร์ GSAT Math ไม่ต่ำกว่า 
600 คะแนน และ Evidence-Based Reading and Writing ไม่ต่ำกว่า 460 คะแนน และ
ได้คะแนนรวมไม่ต่ำกว่า 1200 หรือ SAT Math ไม่ต่ำกว่า 600 คะแนน และ
 Evidence-Based Reading and Writing ไม่ต่ำกว่า 460 คะแนน และ
ได้คะแนนรวมไม่ต่ำกว่า 1200",-,-,,,,,,,,,,-,-,160,https://www.bba.tbs.tu.ac.th/admissions.php
มหาวิทยาลัยเกษตรศาสตร์,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Portfolio,y,y,y,y,y,"- มีคะแนนภาษาอังกฤษ TOEFL ITP ไม่ต่ำกว่า 543 คะแนน หรือ 
TOEFL IBT ไม่ต่ำกว่า 72 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 5.5 หรือ OOPT ไม่ต่ำกว่า 61 คะแนน หรือ 
KU-EPT ไม่ต่ำกว่า 51 คะแนน หรือ 
SAT Evidence-Based Reading and Writing ไม่ต่ำกว่า 530 คะแนน หรือ 
CEFR ไม่ต่ำกว่า B2 หรือ 
มีการเรียนในระดับชั้นมัธยม 4-6 อย่างน้อย 1 ระดับชั้นปีในต่างประเทศ",,,,,,,,,,,,,,80,
มหาวิทยาลัยเกษตรศาสตร์,บริหารธุรกิจ หลักสูตรนานาชาติ  (BBA),Quota,y,y,y,y,y,"- มีคะแนนภาษาอังกฤษ TOEFL ITP ไม่ต่ำกว่า 543 คะแนน หรือ 
TOEFL IBT ไม่ต่ำกว่า 72 คะแนน หรือ 
IELTS ไม่ต่ำกว่า 5.5 หรือ OOPT ไม่ต่ำกว่า 61 คะแนน หรือ 
KU-EPT ไม่ต่ำกว่า 51 คะแนน หรือ 
SAT Evidence-Based Reading and Writing ไม่ต่ำกว่า 530 คะแนน หรือ 
CEFR ไม่ต่ำกว่า B2 หรือ 
มีการเรียนในระดับชั้นมัธยม 4-6 อย่างน้อย 1 ระดับชั้นปีในต่างประเทศ",-,-,,,,,,,,,,-,-,20,https://admission.ku.ac.th
,,,,,,,,,,,,,,,,,,,,,-,,
